transfer,run,desc,plate_n,barcode,ab
13,1,agar,1,2022042625,AB
13,1,agar,2,2022042626,AB
13,1,agar,3,2022042627,AB
13,1,agar,4,2022042628,AB
13,1,agar,5,2022042629,AB
13,1,agar,6,2022042630,AB
14,1,on,1,2022042631,N
13,1,test,1,2022042632,N
13,1,test,1,2022042633,A
13,1,test,1,2022042634,B
13,1,test,1,2022042635,AB
14,1,assay,1,2022042701,N
14,1,assay,2,2022042702,N
14,1,assay,3,2022042703,N
14,1,assay,4,2022042704,N
14,1,assay,5,2022042705,N
14,1,assay,6,2022042706,N
14,1,agar,1,2022042707,N
14,1,agar,2,2022042708,N
14,1,agar,3,2022042709,N
14,1,agar,4,2022042710,N
14,1,agar,5,2022042711,N
14,1,agar,6,2022042712,N
14,1,agar,1,2022042713,A
14,1,agar,2,2022042714,A
14,1,agar,3,2022042715,A
14,1,agar,4,2022042716,A
14,1,agar,5,2022042717,A
14,1,agar,6,2022042718,A
14,1,agar,1,2022042719,B
14,1,agar,2,2022042720,B
14,1,agar,3,2022042721,B
14,1,agar,4,2022042722,B
14,1,agar,5,2022042723,B
14,1,agar,6,2022042724,B
14,1,agar,1,2022042725,AB
14,1,agar,2,2022042726,AB
14,1,agar,3,2022042727,AB
14,1,agar,4,2022042728,AB
14,1,agar,5,2022042729,AB
14,1,agar,6,2022042730,AB
15,1,on,1,2022042731,N
14,1,test,1,2022042732,N
14,1,test,1,2022042733,A
14,1,test,1,2022042734,B
14,1,test,1,2022042735,AB
